E,f,k,E_scaled,f_scaled,k_scaled,Initial_L1,Final_L2,Avg_L3,Cluster
50,0.1,0,-1.315851864,-1.295110533,-1.371800161,-0.107220646,-0.499430939,-0.177946166,2
50,0.1,5,-1.315851864,-1.295110533,0.388203524,-0.332485974,-0.542443652,-0.467247197,1
50,0.1,10,-1.315851864,-1.295110533,0.983596637,0.962865937,2.044672262,1.47762644,0
50,1,0,-1.315851864,0.155603509,-1.371800161,-0.363144577,-0.576162415,-0.521900634,2
50,1,5,-1.315851864,0.155603509,0.388203524,-0.08141831,-0.412131209,-0.124819406,0
50,1,10,-1.315851864,0.155603509,0.983596637,1.047238447,2.208402634,1.610261419,0
50,2,0,-1.315851864,1.139507023,-1.371800161,-0.69874828,-0.302453218,-0.776528641,2
50,2,5,-1.315851864,1.139507023,0.388203524,0.152026736,0.106030023,0.243708686,0
50,2,10,-1.315851864,1.139507023,0.983596637,1.135411089,2.394937612,1.752488303,0
100,0.1,0,0.209149369,-1.295110533,-1.371800161,0.67318837,0.380592885,0.680963629,2
100,0.1,5,0.209149369,-1.295110533,0.388203524,-1.707563014,-1.080983067,-1.733334297,1
100,0.1,10,0.209149369,-1.295110533,0.983596637,0.419083576,0.2312973,0.33684338,0
100,1,0,0.209149369,0.155603509,-1.371800161,0.55166793,0.177242578,0.494743987,2
100,1,5,0.209149369,0.155603509,0.388203524,-3.401897873,-1.144910163,-2.105755339,1
100,1,10,0.209149369,0.155603509,0.983596637,0.551668092,0.242959793,0.513242566,0
100,2,0,0.209149369,1.139507023,-1.371800161,0.40363516,0.195568203,0.298532243,2
100,2,5,0.209149369,1.139507023,0.388203524,-1.59571372,-1.064310221,-1.674689845,1
100,2,10,0.209149369,1.139507023,0.983596637,0.686052851,0.42981633,0.713563867,0
150,0.1,0,1.106702495,-1.295110533,-1.371800161,1.126845375,0.986915675,1.187313479,2
150,0.1,5,1.106702495,-1.295110533,0.388203524,0.130511405,-0.885220306,-0.232232571,1
150,0.1,10,1.106702495,-1.295110533,0.983596637,-0.663300093,-0.759080776,-0.946492215,1
150,1,0,1.106702495,0.155603509,-1.371800161,1.047238359,0.813404598,1.061507829,2
150,1,5,1.106702495,0.155603509,0.388203524,-0.081418607,-0.983865747,-0.506848339,1
150,1,10,1.106702495,0.155603509,0.983596637,-0.363144366,-0.880468683,-0.764449371,1
150,2,0,1.106702495,1.139507023,-1.371800161,0.953183821,0.736984625,0.923825605,2
150,2,5,1.106702495,1.139507023,0.388203524,-0.363144014,-0.883835431,-0.785147793,1
150,2,10,1.106702495,1.139507023,0.983596637,-0.081417675,-0.933528688,-0.47722962,1
